Organisation;Abréviation;Spécialité;Type;Actualités;RSS;Publications ouvertes;Publications RSS;Social
Société Française de Recherche et Médecine du Sommeil;SFRMS;sommeil;societe savante;https://www.sfrms-sommeil.org/recherches/;https://www.sfrms-sommeil.org/feed/;http://www.sfrms.org;No;https://x.com/sfrms
Sleep Research Society;SRS;sommeil;societe savante;https://www.sleepresearchsociety.org/publications/srs-update-news/;https://www.sleepresearchsociety.org/feed/;No;No;https://x.com/ResearchSleep
Société Française de Pharmacologie et de Thérapeutique;SFPT;therapeutique;societe savante;https://sfpt-fr.org;No;https://sfpt-fr.org;No;https://x.com/sfpt_fr
Collège National des Généralistes Enseignants;CNGE;medecine generale;societe savante;https://www.cnge.fr;No;No;No;https://x.com/cnge_france
Collège de la Médecine Générale;CMG;medecine generale;societe savante;http://lecmg.fr/actualites/;https://lecmg.fr/feed/;https://lecmg.fr/productions-du-cmg/;No;https://x.com/lecollegemg
Société Française de Médecine Générale;SFMG;medecine generale;societe savante;http://www.sfmg.org/actualites/;No;http://www.sfmg.org/publications/les_publications/;No;https://x.com/sfmg_org
Société Française de Santé Publique;SFSP;sante publique;societe savante;https://www.sfsp.fr/suivre-l-actualite/les-actualites-generales-de-la-sante-publique/les-dernieres-actualites;https://www.sfsp.fr/suivre-l-actualite/les-actualites-generales-de-la-sante-publique/les-dernieres-actualites?format=feed&type=rss;https://www.sfsp.fr/connaitre-la-sfsp/nos-prises-de-position/nos-contributions;No;https://x.com/SFSPasso
Fédération Nationale d'Éducation et de promotion de la Santé;FNES;sante publique;association;https://www.fnes.fr/category/actualites-generales;https://www.fnes.fr/feed;https://www.fnes.fr/ressources-documentaires;No;https://x.com/Fnes_Ireps
Santé Publique France;SantépubliqueFrance;sante publique;officiel;https://www.santepubliquefrance.fr/les-actualites?max_per_page=24;https://www.santepubliquefrance.fr/rss/actualites.xml?1625847935;https://www.santepubliquefrance.fr/publications;No;https://x.com/santeprevention
European Society of Intensive Care Medicine;ESICM;"anesthesie; reanimation";societe savante;https://www.esicm.org;https://www.esicm.org//feed;https://www.esicm.org/resources/guidelines-consensus-statements/;No;https://x.com/esicm
Société Française d'Anesthésie et de Réanimation;SFAR;"anesthesie; reanimation; urgence";societe savante;https://sfar.org;https://sfar.org/feed/;https://sfar.org/espace-professionel-anesthesiste-reanimateur/referentiels/;No;https://x.com/SFAR_ORG
Société de Réanimation de Langue Française;SRLF;"anesthesie; reanimation; urgence";societe savante;https://www.srlf.org/accueil;No;https://www.srlf.org/recommandations-referentiels-epp;No;https://x.com/La_SRLF
Collège Français des Anesthésistes-Réanimateurs;CFAR;"anesthesie; reanimation; urgence";societe savante;https://cfar.org/actualites/;https://cfar.org/feed/;https://cfar.org/formations/;No;No
Collège National des Enseignants d'Anesthésie et de Réanimation;CNEAR;"anesthesie; reanimation";societe savante;https://www.cnear.fr;https://www.cnear.fr/blog-feed.xml;https://www.cnear.fr;No;No
European Society of Anaesthesiology;ESA;"anesthesie; reanimation";societe savante;https://www.esaic.org;No;https://www.esaic.org/guidelines/?c=published-guidelines;No;https://x.com/ESAIC_org
European Resuscitation Council;ERC;"anesthesie; reanimation";societe savante;https://cprguidelines.eu/;No;https://cprguidelines.eu/;No;https://x.com/ERC_resus
Société Française de Médecine d'Urgence;SFMU;urgence;societe savante;https://www.sfmu.org/fr/actualites/actualites-de-la-sfmu/;https://www.sfmu.org/actualites/actualites-de-la-sfmu?rss;https://www.sfmu.org/fr/publications/recommandations-de-la-sfmu/;https://www.sfmu.org/vie-professionnelle/outils-professionnels/consensus?rss&tpl=rss-concensus;https://x.com/SFMU_MS
Association Française pour l'Information Scientifique;AFIS;sciences;societe savante;https://www.afis.org;https://afis.org/rss.xml;https://www.afis.org/-La-revue-Science-et-pseudo-sciences-;No;https://x.com/afis_science/
Agence du Numérique en Santé;ANS;esante;officiel;https://esante.gouv.fr/actualites;https://esante.gouv.fr/rss.xml;https://esante.gouv.fr/profession-liberale;No;https://x.com/esante_gouv_fr
Agence Nationale d'Appuis à la Performance;ANAP;esante;officiel;https://www.anap.fr/s/toutes-les-actualites;No;https://www.anap.fr/s/publications-et-outils;No;https://x.com/anap_sante
European Federation for Medical Informatics;EFMI;esante;societe savante;https://efmi.org/category/blog/;https://efmi.org/category/blog/feed/;No;No;https://x.com/EFMI
TICSanté;TICsanté;esante;media;https://www.ticsante.com/home.php;No;No;No;https://x.com/ticsante
TICPharma;TicPharma;esante;media;No;No;No;No;https://x.com/TICpharma
Le blog de Buzz Médecin;Buzz Médecin;esante;media;https://comparatif-logiciels-medicaux.fr/actualite/;https://comparatif-logiciels-medicaux.fr/actualite/feed;https://comparatif-logiciels-medicaux.fr;No;https://x.com/mfdepange
Groupement d'intérêt économique SESAM-Vitale;SESAM-Vitale;esante;officiel;https://www.sesam-vitale.fr/web/sesam-vitale/actualites;https://www.sesam-vitale.fr/web/sesam-vitale/actualites/-/blogs/rss;https://www.sesam-vitale.fr/web/sesam-vitale/etudes-de-marche;No;https://x.com/GIE_SESAMVitale
PHAST;PHAST;esante;industriel;https://www.phast.fr/actualites/;https://www.phast.fr/feed/;No;No;https://x.com/reseauphast
Rédaction Médicale et Scientifique;Rédaction Médicale et Scientifique;medecine;media;https://www.redactionmedicale.fr;https://www.redactionmedicale.fr/rss.xml;No;No;No
Le Quotidien du Médecin;Quotidien;medecine;media;https://www.lequotidiendumedecin.fr;No;No;No;https://x.com/leQdM
Fédération des Médecins de France;FMF;medecine;syndicat;https://www.fmfpro.org;https://www.fmfpro.org/feed/;https://www.fmfpro.org/boite-a-outils/aide-a-la-consultation/;No;https://x.com/fmfofficiel
Confédération des Syndicats Médicaux Français;CSMF;medecine;syndicat;http://www.csmf.org;No;;;https://x.com/CSMF_officiel
MG France;MG France;medecine;syndicat;https://www.mgfrance.org;https://www.mgfrance.org/?format=feed&type=rss;https://www.mgfrance.org/cabinet;No;https://x.com/MG_France
Le Syndicat des Médecins Libéraux;SML;medecine;syndicat;https://www.lesml.org/fr/216-les-articles-du-sml.php;No;http://www.lesml.org/fr/59-modeles-contrats-scm-sci-scp-etc.php;No;https://x.com/LE_SML
